
--------------------------------------------------
[FAIL] | Canada Post | #4016010200196884 | reason: Notification button not found (likely already delivered) | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010200196884
[FAIL] | Canada Post | #4016010199056886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010199056886
[FAIL] | Canada Post | #4016010198171887 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010198171887
[FAIL] | Canada Post | #4016010197519888 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010197519888
[FAIL] | Canada Post | #4016010196144883 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010196144883
[FAIL] | Canada Post | #4016010194638889 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010194638889
[FAIL] | Canada Post | #4016010194280880 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010194280880
[FAIL] | UPS | #1ZV56D262019002933 | reason:  | https://www.ups.com/track?trackingNumber=1ZV56D262019002933
[FAIL] | UPS | #1ZV56D262036170167 | reason:  | https://www.ups.com/track?trackingNumber=1ZV56D262036170167
[FAIL] | UPS | #1ZV56D262029128048 | reason:  | https://www.ups.com/track?trackingNumber=1ZV56D262029128048
[FAIL] | Canpar | #D420352470001446602001 | reason:  | https://www.canpar.com/en/tracking/delivery_options.htm?barcode=D420352470001446602001
[FAIL] | Canpar | #D420352470001439418001 | reason:  | https://www.canpar.com/en/tracking/delivery_options.htm?barcode=D420352470001439418001
[FAIL] | Purolator | #520173171882 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520173171882
[FAIL] | Purolator | #520172626217 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520172626217
[FAIL] | Purolator | #520172536978 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520172536978
[FAIL] | Purolator | #GQX000013383 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=GQX000013383
[FAIL] | Purolator | #520172163401 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520172163401
[FAIL] | Purolator | #520171946012 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520171946012
[FAIL] | Purolator | #GQX000013045 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=GQX000013045
[FAIL] | Purolator | #520169907604 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520169907604
[FAIL] | Purolator | #GQX000013011 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=GQX000013011
[FAIL] | Purolator | #GQX000013003 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=GQX000013003
[FAIL] | Purolator | #GQX000012997 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=GQX000012997
[FAIL] | Purolator | #520169339022 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520169339022
[FAIL] | Purolator | #520167373973 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520167373973
[FAIL] | Purolator | #520167369203 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520167369203
[FAIL] | Purolator | #520167347530 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520167347530
[FAIL] | Purolator | #520167243267 | reason:  | https://www.purolator.com/en/shipping/tracker?pin=520167243267

--------------------------------------------------
